Title,max_players,publishers,review_score,total_sales,used_price,release_console,esrb_rating,year,avg_all_playtime,max_all_playtime,med_all_playtime,total_all_playtime,min_all_playtime,avg_complete,max_complete,med_complete,total_complete,min_complete,avg_x_complete,max_x_complete,med_x_complete,total_x_complete,min_x_complete,avg_story_complete,max_story_complete,med_story_complete,total_story_complete,min_story_complete,genre_action,genre_strategy,genre_racing_driving,genre_sports,genre_simulation,genre_adventure,genre_rpg,genre_educational,pub_Nintendo,pub_Ubisoft,pub_Sony,pub_Activision,pub_EA,pub_namco,pub_konami,pub_koei,pub_sega,pub_capcom,pub_rockstar,pub_THQ,pub_2K,pub_D3,pub_vivendi,pub_majesco,pub_microsoft,pub_SquareEnix,pub_505,pub_Atari,pub_Spike,pub_RisingStar,pub_Midway,pub_Eidos,pub_WarnerBros,pub_Atlus,pub_Codemasters,pub_Disney,pub_count,pub_other
Dark Messiah of Might and Magic: Elements,1,Ubisoft,52,0.13,17.95,X360,T,2008,13.2333333333333,35.8,12,136,8.21666666666667,21.25,39.8,20,17,14.3,14.3666666666667,22.4166666666667,13,45,10.7833333333333,10.7,15.1666666666667,10,74,7.08333333333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Fracture,1,LucasArts,63,0.13,14.95,X360,T,2008,7.9,12.7166666666667,7,19,6.13333333333333,0,0,0,0,0,10.383333333333301,13.7166666666667,8.53333333333333,5,8.71666666666667,7.01666666666667,9.78333333333333,7,14,5.91666666666667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Bomberman Land,4,"Hudson Soft, Rising Star",57,0.12,19.95,Nintendo Wii,T,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE
Nitrobike,4,Ubisoft,49,0.12,14.95,Nintendo Wii,E,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Culdcept Saga,4,Namco,75,0.12,17.95,X360,T,2008,47.6166666666667,48.8,47.6166666666667,2,46.4333333333333,0,0,0,0,0,47.6166666666667,48.8,47.6166666666667,2,46.4333333333333,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Facebreaker,2,EA,53,0.12,14.95,PlayStation 3,E,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
MLB Power Pros 2008,2,2K,83,0.12,22.95,Nintendo Wii,E,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Mushroom Men: The Spore Wars,2,GameCock Media Group,72,0.12,17.95,Nintendo Wii,E,2008,5.51666666666667,6.86666666666667,5.95,5,3.61666666666667,0,0,0,0,0,7.2,7.71666666666667,7.66666666666667,3,6.68333333333333,3,3.75,3,2,2.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Dragon Quest V: Hand of the Heavenly Bride,1,SquareEnix,84,0.12,29.95,Nintendo DS,T,2008,34.8333333333333,59.2,34,121,25.3166666666667,44.6333333333333,47.8666666666667,44.8666666666667,5,42.3666666666667,38.7333333333333,60.75,36.3166666666667,54,30.1,30.65,40.6333333333333,30,62,23.2666666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
Ninjatown,1,SouthPeak Games,80,0.12,19.95,Nintendo DS,T,2008,14.6833333333333,17.4166666666667,15,5,11.883333333333301,15.5,15.5,15.5,1,15.5,20,20,20,1,20,12.633333333333301,14.15,14,3,11.1166666666667,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE
